File Creation Date: 2021/03/02 09:53:30
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0007.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;Pt100 (R<250Ohm);Disabled;Ch4;VW f>1600Hz;NTC (R>250Ohm);Ch5;VW f>1600Hz;NTC (R>250Ohm);Ch6;VW f>1600Hz;NTC (R>250Ohm);Ch7;VW f>1600Hz;NTC (R>250Ohm);Ch8;VW f>1600Hz;NTC (R>250Ohm);Ch9;VW f<1600Hz;NTC (R>250Ohm);Ch10;VW f<1600Hz;NTC (R>250Ohm);Ch11;VW f<1600Hz;NTC (R>250Ohm);Ch12;VW f<1600Hz;NTC (R>250Ohm);Ch13;VW f>1600Hz;NTC (R>250Ohm);Ch14;VW f>1600Hz;NTC (R>250Ohm);Ch15;VW f>1600Hz;NTC (R>250Ohm);Ch16;VW f<1600Hz;NTC (R>250Ohm)
2021/03/02 09:53:30;|;9.9;20.5;|;108.99;Dis.;|;109.01;Dis.;|;108.97;Dis.;|;2710.6;3140.0;|;2665.0;3146.6;|;2871.7;3238.5;|;2656.0;3212.8;|;2762.9;3224.9;|;1239.4;3242.2;|;1220.4;3246.9;|;1239.9;3198.7;|;1246.4;3208.5;|;2689.3;3255.6;|;2715.5;3243.8;|;2707.4;3198.9;|;1224.9;3259.9
File Creation Date: 2021/03/02 10:53:30
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0007.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;Pt100 (R<250Ohm);Disabled;Ch4;VW f>1600Hz;NTC (R>250Ohm);Ch5;VW f>1600Hz;NTC (R>250Ohm);Ch6;VW f>1600Hz;NTC (R>250Ohm);Ch7;VW f>1600Hz;NTC (R>250Ohm);Ch8;VW f>1600Hz;NTC (R>250Ohm);Ch9;VW f<1600Hz;NTC (R>250Ohm);Ch10;VW f<1600Hz;NTC (R>250Ohm);Ch11;VW f<1600Hz;NTC (R>250Ohm);Ch12;VW f<1600Hz;NTC (R>250Ohm);Ch13;VW f>1600Hz;NTC (R>250Ohm);Ch14;VW f>1600Hz;NTC (R>250Ohm);Ch15;VW f>1600Hz;NTC (R>250Ohm);Ch16;VW f<1600Hz;NTC (R>250Ohm)
